"Fact","Fact Note","Mississippi","Value Note for Mississippi","Minnesota","Value Note for Minnesota","Michigan","Value Note for Michigan","Massachusetts","Value Note for Massachusetts","Maryland","Value Note for Maryland","Maine","Value Note for Maine"
"Population Estimates, July 1, 2022, (V2022)","","2,940,057","","5,717,184","","10,034,113","","6,981,974","","6,164,660","","1,385,340",""
"Population Estimates, July 1, 2021, (V2021)","","2,949,586","","5,711,471","","10,037,504","","6,989,690","","6,174,610","","1,377,238",""
"Population estimates base, April 1, 2020, (V2022)","","2,961,288","","5,706,504","","10,077,325","","7,029,949","","6,177,213","","1,362,341",""
"Population estimates base, April 1, 2020, (V2021)","","2,961,288","","5,706,504","","10,077,325","","7,029,949","","6,177,213","","1,362,341",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.7%","","0.2%","","-0.4%","","-0.7%","","-0.2%","","1.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.4%","","0.1%","","-0.4%","","-0.6%","","0.0%","","1.1%",""
"Population, Census, April 1, 2020","","2,961,279","","5,706,494","","10,077,331","","7,029,917","","6,177,224","","1,362,359",""
"Population, Census, April 1, 2010","","2,967,297","","5,303,925","","9,883,640","","6,547,629","","5,773,552","","1,328,361",""
"Persons under 5 years, percent","","6.0%","","5.9%","","5.5%","","5.0%","","5.8%","","4.5%",""
"Persons under 18 years, percent","","23.5%","","23.1%","","21.4%","","19.5%","","22.1%","","18.4%",""
"Persons 65 years and over, percent","","16.8%","","16.7%","","18.1%","","17.4%","","16.3%","","21.7%",""
"Female persons, percent","","51.3%","","49.9%","","50.4%","","51.1%","","51.3%","","50.7%",""
"White alone, percent","","58.8%","","83.0%","","79.0%","","79.8%","","57.8%","","94.2%",""
"Black or African American alone, percent","(a)","38.0%","","7.4%","","14.1%","","9.3%","","31.4%","","1.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","1.4%","","0.7%","","0.5%","","0.7%","","0.7%",""
"Asian alone, percent","(a)","1.1%","","5.4%","","3.4%","","7.5%","","6.9%","","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","Z","","0.1%","","0.1%","","Z",""
"Two or More Races, percent","","1.4%","","2.8%","","2.7%","","2.7%","","3.1%","","1.9%",""
"Hispanic or Latino, percent","(b)","3.5%","","5.8%","","5.6%","","12.8%","","11.1%","","2.0%",""
"White alone, not Hispanic or Latino, percent","","56.0%","","78.1%","","74.2%","","70.1%","","49.0%","","92.5%",""
"Veterans, 2017-2021","","159,142","","282,627","","516,924","","277,442","","352,738","","101,024",""
"Foreign born persons, percent, 2017-2021","","2.3%","","8.5%","","6.9%","","17.3%","","15.4%","","3.6%",""
"Housing units, July 1, 2021, (V2021)","","1,332,050","","2,517,248","","4,590,528","","3,017,901","","2,546,344","","745,334",""
