"Fact","Fact Note","West Virginia","Value Note for West Virginia","Washington","Value Note for Washington","Virginia","Value Note for Virginia","Vermont","Value Note for Vermont","Utah","Value Note for Utah","Texas","Value Note for Texas"
"Population Estimates, July 1, 2022, (V2022)","","1,775,156","","7,785,786","","8,683,619","","647,064","","3,380,800","","30,029,572",""
"Population Estimates, July 1, 2021, (V2021)","","1,785,526","","7,740,745","","8,657,365","","646,972","","3,339,113","","29,558,864",""
"Population estimates base, April 1, 2020, (V2022)","","1,793,755","","7,705,247","","8,631,384","","643,085","","3,271,614","","29,145,428",""
"Population estimates base, April 1, 2020, (V2021)","","1,793,755","","7,705,247","","8,631,384","","643,085","","3,271,614","","29,145,428",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-1.0%","","1.0%","","0.6%","","0.6%","","3.3%","","3.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.5%","","0.5%","","0.3%","","0.6%","","2.1%","","1.4%",""
"Population, Census, April 1, 2020","","1,793,716","","7,705,281","","8,631,393","","643,077","","3,271,616","","29,145,505",""
"Population, Census, April 1, 2010","","1,852,994","","6,724,540","","8,001,024","","625,741","","2,763,885","","25,145,561",""
"Persons under 5 years, percent","","5.0%","","5.6%","","5.7%","","4.4%","","7.1%","","6.5%",""
"Persons under 18 years, percent","","20.1%","","21.7%","","21.8%","","18.1%","","28.4%","","25.3%",""
"Persons 65 years and over, percent","","20.7%","","16.2%","","16.3%","","20.6%","","11.7%","","13.1%",""
"Female persons, percent","","50.1%","","49.6%","","50.5%","","50.3%","","49.4%","","50.1%",""
"White alone, percent","","93.1%","","77.5%","","68.8%","","94.0%","","90.3%","","77.9%",""
"Black or African American alone, percent","(a)","3.7%","","4.5%","","20.0%","","1.5%","","1.5%","","13.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","2.0%","","0.6%","","0.4%","","1.6%","","1.1%",""
"Asian alone, percent","(a)","0.9%","","10.0%","","7.2%","","2.0%","","2.7%","","5.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","0.8%","","0.1%","","Z","","1.1%","","0.2%",""
"Two or More Races, percent","","2.0%","","5.2%","","3.4%","","2.1%","","2.8%","","2.2%",""
"Hispanic or Latino, percent","(b)","1.9%","","13.7%","","10.2%","","2.2%","","14.8%","","40.2%",""
"White alone, not Hispanic or Latino, percent","","91.5%","","66.0%","","60.3%","","92.2%","","77.2%","","40.3%",""
"Veterans, 2017-2021","","118,598","","509,722","","671,519","","34,347","","118,744","","1,426,641",""
"Foreign born persons, percent, 2017-2021","","1.6%","","14.7%","","12.5%","","4.4%","","8.5%","","17.0%",""
"Housing units, July 1, 2021, (V2021)","","858,481","","3,257,185","","3,652,388","","336,779","","1,190,107","","11,869,072",""
"Owner-occupied housing unit rate, 2017-2021","","73.9%","","63.6%","","66.6%","","72.1%","","70.5%","","62.4%",""
"Median value of owner-occupied housing units, 2017-2021","","$128,800","","$397,600","","$295,500","","$240,600","","$339,700","","$202,600",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,101","","$2,064","","$1,891","","$1,701","","$1,682","","$1,747",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$345","","$646","","$501","","$724","","$461","","$557",""
"Median gross rent, 2017-2021","","$770","","$1,439","","$1,326","","$1,070","","$1,171","","$1,146",""
"Building permits, 2021","","3,692","","56,941","","39,388","","2,319","","39,058","","265,955",""
"Households, 2017-2021","","711,352","","2,931,841","","3,248,528","","262,514","","1,033,651","","10,239,341",""
"Persons per household, 2017-2021","","2.47","","2.55","","2.57","","2.35","","3.08","","2.76",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","88.9%","","83.6%","","85.6%","","87.1%","","84.5%","","85.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","2.5%","","20.3%","","16.5%","","5.5%","","15.4%","","35.1%",""
"Households with a computer, percent, 2017-2021","","87.6%","","95.6%","","93.4%","","92.3%","","96.7%","","93.9%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","80.8%","","91.3%","","87.6%","","84.6%","","90.8%","","86.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","88.1%","","91.9%","","90.8%","","93.9%","","93.1%","","84.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","21.8%","","37.3%","","40.3%","","40.9%","","35.4%","","31.5%",""
"With a disability, under age 65 years, percent, 2017-2021","","14.1%","","8.9%","","8.2%","","10.4%","","7.1%","","8.0%",""
"Persons  without health insurance, under age 65 years, percent","","7.6%","","7.5%","","8.0%","","4.5%","","10.1%","","20.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","53.2%","","63.7%","","64.1%","","64.9%","","68.9%","","64.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","49.3%","","58.9%","","60.5%","","62.8%","","61.7%","","58.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","4,069,148","","21,068,612","","22,074,703","","2,019,843","","7,098,204","","74,369,383",""
