"state","asian","bilingual","black","commute_t","fam_size","hispanic","no_insurance","over65","persons_in_poverty","under18","with_disability","vet_wt","people_per_unit","years_mortgage","transport_wt","house_rep_net","house_rep_nofood","rent_wt","home_price_idx","avg_percip","air_quality"
"Alabama",1.6,5.3,26.8,25.2,2.57,4.8,11.8,17.6,16.1,22.3,11.5,6.4,2.19,15.24,14.1,2.86,3.12,18.61,1.36,1422.4,46.6
"Alaska",6.6,15.6,3.6,19.5,2.72,7.5,12.9,13.3,10.5,24.5,9,8.55,2.24,17.21,54.01,3.52,3.88,19.12,1.16,737.362,29.1
"Arizona",3.8,26.6,5.4,25.7,2.58,32.3,12.9,18.3,12.8,22.2,9,6.41,2.34,20.19,13.96,4.03,4.39,21.34,1.85,299.72,45.4
"Arkansas",1.8,7.7,15.7,22,2.53,8.3,11,17.5,16.3,23.2,12.9,6.11,2.21,15.16,19.94,2.73,2.98,18.49,1.33,1262.888,43.1
"California",15.9,43.9,6.5,29.5,2.92,40.2,8.1,15.2,12.3,22.4,6.8,3.76,2.69,25.35,16.67,6.82,7.53,24.23,1.51,583.438,46
"Colorado",3.6,16.3,4.7,25.8,2.52,22.3,9.3,15.1,9.7,21.4,7.6,6.26,2.3,23.61,18.7,4.96,5.38,21.51,1.63,431.292,47.1
"Connecticut",5.1,22.3,12.7,26.5,2.5,17.7,6.1,18,10.1,20.2,7.8,4.23,2.36,19.17,10.09,3.43,3.97,18.09,1.25,1271.778,45
"Delaware",4.2,13.7,23.6,26,2.51,10.1,7,20.1,11.6,20.8,9.4,6.32,2.22,19.46,7.25,3.71,4.03,19.78,1.34,1163.828,46.4
"Florida",3,29.8,17,27.9,2.57,26.8,15.1,21.1,13.1,19.7,8.7,6.25,2.21,19.23,20.46,4.03,4.5,25.27,1.66,1390.142,38.9
"Georgia",4.6,14.3,33,28.6,2.67,10.2,14.7,14.7,14,23.4,8.9,5.62,2.44,16.28,23.93,3.18,3.47,20.48,1.68,1275.588,48.2
"Hawaii",36.8,25.9,2.2,26.8,2.95,11.1,4.8,19.6,11.2,21.1,6.5,6.71,2.55,27.41,29.69,7.52,8.16,23.93,1.38,1278.382,21.2
"Idaho",1.6,10.8,0.9,21.2,2.71,13.3,10.5,16.6,11,24.7,9.6,6.13,2.5,22.57,12.26,4.2,4.56,18.03,2.2,429.514,44.3
"Illinois",6.1,23.2,14.7,28.7,2.54,18,8.2,16.6,12.1,22.1,7.5,4.27,2.31,16.11,29.61,2.93,3.3,18.14,1.3,978.408,43.6
"Indiana",2.7,8.9,10.2,23.9,2.5,7.7,8.9,16.4,12.2,23.3,9.9,5.34,2.32,17.24,19.97,2.56,2.8,17.26,1.48,1063.244,47.5
"Iowa",2.8,8.6,4.3,19.6,2.42,6.7,5.8,17.7,11.1,23.1,8.1,5.45,2.24,16.25,17.8,2.46,2.72,15.5,1.24,876.3,37.6
"Kansas",3.2,11.8,6.2,19.6,2.51,12.7,10.9,16.7,11.7,24,9.4,5.71,2.29,14.9,19.93,2.55,2.84,16.96,1.3,823.722,42.8
"Kentucky",1.7,5.9,8.6,23.7,2.5,4.2,6.7,17.1,16.5,22.5,13.2,5.55,2.25,15.39,22.36,2.8,3.06,17.87,1.34,1175.258,46.1
"Louisiana",1.9,7.7,33,25.9,2.59,5.6,9,16.5,19.6,23.4,11.3,5.06,2.19,14.3,22.44,3.25,3.53,20.68,1.26,1502.41,40.4
"Maine",1.4,5.9,1.8,24.3,2.31,2,7.3,21.7,11.5,18.4,11.6,7.29,1.86,18.78,7.73,3.36,3.73,17.61,1.81,1155.446,36.5
"Maryland",6.9,19.5,31.4,32.5,2.62,11.1,7.1,16.3,10.3,22.1,7.7,5.72,2.42,19.41,13.32,3.7,4.05,19.49,1.24,1084.58,47
